gene	partner
(NOL1)	NSUN5
0808y08y	NFYC-AS1
1-8D	IFITM2
1-8U	IFITM3
1-Cys	PRDX6
1/2-SBSRNA4	SEC24B-AS1
10-fTHF	ALDH1L1
101F10.1	KNOP1
101F6	CYB561D2
103AS	KIR2DL4
10C	ARHGAP9
11B6	MAGED2
12-HETER	GPR31
123F2	RASSF1
12CC4	FOXP1
12R-LOX	ALOX12B
12S-LOX	ALOX12
133K02	FAM114A2
13CDNA73	FRY
14-3-3	YWHAQ
14-3-3-zeta	YWHAZ
14.1	IGLL1
14q(0)	SNORD112
14q(I)	SNORD113@
14q(I-1)	SNORD113-1
14q(I-2)	SNORD113-2
14q(I-3)	SNORD113-3
14q(I-4)	SNORD113-4
14q(I-5)	SNORD113-5
14q(I-6)	SNORD113-6
14q(I-7)	SNORD113-7
14q(I-8)	SNORD113-8
14q(I-9)	SNORD113-9
14q(II)	SNORD114@
14q(II-1)	SNORD114-1
14q(II-10)	SNORD114-10
14q(II-11)	SNORD114-11
14q(II-12)	SNORD114-12
14q(II-13)	SNORD114-13
14q(II-14)	SNORD114-14
14q(II-15)	SNORD114-15
14q(II-16)	SNORD114-16
14q(II-17)	SNORD114-17
14q(II-18)	SNORD114-18
14q(II-19)	SNORD114-19
14q(II-2)	SNORD114-2
14q(II-20)	SNORD114-20
14q(II-21)	SNORD114-21
14q(II-22)	SNORD114-22
14q(II-23)	SNORD114-23
14q(II-24)	SNORD114-24
14q(II-25)	SNORD114-25
14q(II-26)	SNORD114-26
14q(II-27)	SNORD114-27
14q(II-28)	SNORD114-28
14q(II-29)	SNORD114-29
14q(II-3)	SNORD114-3
14q(II-30)	SNORD114-30
14q(II-31)	SNORD114-31
14q(II-4)	SNORD114-4
14q(II-5)	SNORD114-5
14q(II-6)	SNORD114-6
14q(II-7)	SNORD114-7
14q(II-8)	SNORD114-8
14q(II-9)	SNORD114-9
15-LOX-1	ALOX15
15-LOX-2	ALOX15B
15.212	KIR2DL4
15.5K	NHP2L1
156DAG	DAG1
15E1.2	GATC
16.1	IGLL3P
16.2	IGLL2P
16.3A5	CD59
16A	ATP6AP1
16E1BP	TRIP13
17-1A	EPCAM
17-BETA-HSD11	HSD17B11
17-BETA-HSDXI	HSD17B11
1700010H15RiK	DNAL1
170A	SKIV2L
17b-HSD10	HSD17B10
182-FIP	NUFIP2
183ActI	KIR2DS2
18A2	S100A4
19A	SLAMF7
1A1-3B	NBR1
1C7	NCR3
1D	LMOD1
1R20	RGS1
2'-PDE	PDE12
2-19	FAM3A
2-21	FAM3B
2-COP	COPG2
2-HPCL	HACL1
20000	KPTN
209L8	ILVBL
20D7-FC4	FBXO46
21-GARP	SH3BGR
2310005P21Rik	C1QTNF3
2310047H23Rik	TXNDC15
239AB	MPPED1
239FB	MPPED2
24b2	STAC2
24p3	LCN2
2610509L04Rik	EIF4ENIF1
26RFa	QRFP
2700066J21Rik	UTP14C
28H	HMGN2P11
2A9	S100A6
2B28	UBXN1
2B4	CD244
2C18	AP1AR
2C4D	MOB4
2F1	KLRG1
2F1	SLC25A5
2G7	LINC01150
2H9	HNRNPH3
2HOR0202	SAP18
2OST	UST
2P1	NDUFAF3
2PP2A	SET
3'HEXO	ERI1
3'OY11.1	ZNF280A
3'aHIF-1A	HIF1A-AS2
3-10C	IL8
3-OST-5	HS3ST5
3-PAP	MTMR12
3-alpha-HSD	AKR1C4
30K	CAPNS1
30ST3A1	HS3ST3A1
30ST3B1	HS3ST3B1
323/A3	EPCAM
354J5	ZNF259P1
37LRP	RPSA
384D8-2	NCAPH2
39K2	STAU2
3D3	MTDH
3G2	RBM6
3H11Ag	CEP290
3M3	CCDC8
3OST1	HS3ST1
3OST2	HS3ST2
3OST3A1	HS3ST3A1
3OST3B1	HS3ST3B1
3OST4	HS3ST4
3PAP	MTMR12
3PK	MAPKAPK3
3alpha-HSD	DHRS9
3pK	MAPKAPK3
4-1BB	TNFRSF9
4-1BB-L	TNFSF9
4-HPPD	HPD
4-HPPD-L	HPDL
4.1-G	EPB41L2
4.1B	EPB41L3
4.1R	EPB41
42A	S100A4
42C	S100A10
47.11	KIR2DL1
4832404P21Rik	ZSWIM8
4833431A01Rik	THAP1
4930513O09RIK	ZCCHC13
4933409D10Rik	ZNF474
4E-BP1	EIF4EBP1
4E-BP3	EIF4EBP3
4E-T	EIF4ENIF1
4EHP	EIF4E2
4F-se9[6:7:8]	CYP4F30P
4F2	SLC3A2
4F2HC	SLC3A2
4F5	SERF1A
4F5REL	SERF2
4HPPD	HPD
4P11	CRYZL1
4T2HC	SLC3A2
5'OY11.1	ZNF280B
5'aHIF-1A	HIF1A-AS1
5-HT(2B)	HTR2B
5-HT1A	HTR1A
5-HT1B	HTR1B
5-HT1D	HTR1D
5-HT1DB	HTR1B
5-HT1E	HTR1E
5-HT1F	HTR1F
5-HT2A	HTR2A
5-HT2B	HTR2B
5-HT2C	HTR2C
5-HT3A	HTR3A
5-HT3B	HTR3B
5-HT3R	HTR3A
5-HT4	HTR4
5-HT5A	HTR5A
5-HT5B	HTR5BP
5-HT6	HTR6
5-HT6R	HTR6
5-HT7	HTR7
5-HTT	SLC6A4
5-LOX	ALOX5
5-Opase	OPLAH
53BP1	TP53BP1
53BP2	TP53BP2
54TM	YIF1A
59-DAP	SNTB1
5HTR2C	HTR2C
5PTASE	INPP5A
5T4	TPBG
5T4-AG	TPBG
6-16	IFI6
6.3	PLXNA3
60B8AG	S100A8
60B8AG	S100A9
60H	HMGN2P12
64kD	LMOD1
6530404F10Rik	KCTD18
6530406P05Rik	GPR165P
6A3-5	ARID1B
6C6-Ag	BCAP31
6Ckine	CCL21
6PGL	PGLS
7-60	OGFR
71-7A	OFD1
71-7A2	OFD1P18Y
71-7A3	OFD1P17
71-7A5	OFD1P17
721P	AKAP17A
753P9	SASH3
76P	TUBGCP4
7A5	MACC1
7B2	SCG5
7B4	CDH5
7L1a	RN7SL1
7L23	RN7SL7P
7L28	RN7SL4P
7L30.1	RN7SL2
7L30.2	RN7SL3
7L63	RN7SL8P
7L7	RN7SL6P
7LEM1	RN7SL5P
7SK	RN7SK
7SL	RN7SL1
7SL1c	RN7SL2
7h3	SYDE1
80K-L	MARCKS
82-FIP	NUFIP2
87U6	GNAI3
87U6	RNU6V
8B	SYNE1
8D6	CD320
8D6A	CD320
8HS20	VPREB3
9-27	IFITM1
90K	LGALS3BP
9630046K23Rik	POGLUT1
9F	FAM50A
9G8	SLU7
9G8	SRSF7
A-152E5.1	CCL22
A-2	GPR162
A-761H5.2	CDC37P1
A-923A4.1	ACSM2A
A-FABP	FABP4
A-LAP	ERAP1
A-SCID	DCLRE1C
A-myb	MYBL1
A1	RFC1
A1	RFC2
A1	RFC4
A1-5	ZNF2
A10	IGKV6D-21
A121	EIF1
A12M1~withdrawn	A12M1~withdrawn
A12M2~withdrawn	A12M2~withdrawn
A12M3~withdrawn	A12M3~withdrawn
A12M4~withdrawn	A12M4~withdrawn
A14GALT	A4GALT
A15	TSPAN7
A170	SQSTM1
A1A	SERPINA1
A1AT	SERPINA1
A1B	SNTB1
A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1BG-AS1	FLJ23569
A1CF	A1CF
A1CF	ACF
A1CF	ACF64
A1CF	ACF65
A1CF	APOBEC1CF
A1CF	ASP
A1S9T~withdrawn	A1S9T~withdrawn
A1U	UBQLN4
A2	C21orf2
A2	GPHA2
A2	SGCA
A20	IGKV1-27
A20	TNFAIP3
A211C6.1	LYRM1
A214N16.3	PRUNE2
A26	IGKV6-21
A26C1	POTEE
A28-RGS14	RGS16
A2AP	SERPINF2
A2BP1	RBFOX1
A2D	ATXN2L
A2HS	AHSG
A2M	A2M
A2M	CPAMD5
A2M	FWP007
A2M	S863-7
A2M-AS1	A2M-AS1
A2ML1	A2ML1
A2ML1	FLJ25179
A2ML1-AS1	A2ML1-AS1
A2ML1-AS2	A2ML1-AS2
A2MP1	A2MP1
